"head","tail","relation","label"
"曹操","荀彧","lord","主公"
"曹操","荀攸","lord","主公"
"荀彧","荀攸","uncle","叔叔"
"曹操","贾诩","lord","主公"
"曹操","司马懿","lord","主公"
"曹操","程昱","lord","主公"
"曹操","于禁","lord","主公"
"曹操","邓艾","lord","主公"
"曹操","钟会","lord","主公"
"曹操","庞德","lord","主公"
"司马师","司马懿","son","儿子"
"司马昭","司马师","younger_brother","弟弟"
"司马昭","司马懿","son","儿子"
"司马炎","司马昭","son","儿子"
"曹仁","曹操","same_clan","同族"
"曹纯","曹仁","younger_brother","弟弟"
"曹昂","曹操","son","儿子"
"刘氏","曹操","wife","妻子"
"超昂","刘氏","son","儿子"
"卞氏","曹操","wife","妻子"
"曹丕","卞氏","son","儿子"
"曹植","曹丕","younger_brother","弟弟"
"马谡","诸葛亮","colleague","同事"
"马谡","刘备","minister","臣"
"孙坚","孙权","father","父亲"
"吴国太","孙权","mother","母亲"
